temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0,e_min,stable_struct
0.0,0,-9.0647993995,-8.89754233525,-8.904854454875,-9.0647993995,Structure-1
10.0,0,-9.06479942675,-8.89754233675,-8.904854456,-9.06479942675,Structure-1
20.0,0,-9.06479994825,-8.897542368,-8.904854476625001,-9.06479994825,Structure-1
30.0,0,-9.06480211475,-8.897542507499999,-8.90485456875,-9.06480211475,Structure-1
40.0,0,-9.06480729275,-8.89754288775,-8.904854819750001,-9.06480729275,Structure-1
50.0,0,-9.06481687175,-8.897543697,-8.904855355750001,-9.06481687175,Structure-1
60.0,0,-9.0648322505,-8.8975451855,-8.904856346625001,-9.0648322505,Structure-1
70.0,0,-9.0648548545,-8.89754767325,-8.904858014125,-9.0648548545,Structure-1
80.0,0,-9.064886146,-8.8975515615,-8.904860644500001,-9.064886146,Structure-1
90.0,0,-9.06492761975,-8.89755734475,-8.90486460225,-9.06492761975,Structure-1
100.0,0,-9.0649807865,-8.89756561725,-8.904870341625001,-9.0649807865,Structure-1
110.0,0,-9.06504715275,-8.8975770745,-8.904878411,-9.06504715275,Structure-1
120.0,0,-9.065128198,-8.8975925055,-8.904889451125001,-9.065128198,Structure-1
130.0,0,-9.0652253535,-8.89761278075,-8.904904187125,-9.0652253535,Structure-1
140.0,0,-9.0653399865,-8.897638837999999,-8.904923416875,-9.0653399865,Structure-1
150.0,0,-9.06547338625,-8.897671666499999,-8.904947998,-9.06547338625,Structure-1
160.0,0,-9.065626756,-8.8977122925,-8.904978833625002,-9.065626756,Structure-1
170.0,0,-9.0658012075,-8.89776176775,-8.905016861250001,-9.0658012075,Structure-1
180.0,0,-9.06599776,-8.8978211565,-8.905063040375001,-9.06599776,Structure-1
190.0,0,-9.066217341,-8.89789152675,-8.905118343375001,-9.066217341,Structure-1
200.0,0,-9.06646079075,-8.89797394175,-8.905183746625001,-9.06646079075,Structure-1
210.0,0,-9.06672886525,-8.89806945225,-8.905260223125001,-9.06672886525,Structure-1
220.0,0,-9.06702224325,-8.898179091,-8.905348735875,-9.06702224325,Structure-1
230.0,0,-9.067341532,-8.898303864999999,-8.905450232500002,-9.067341532,Structure-1
240.0,0,-9.0676872725,-8.89844475275,-8.905565639875,-9.0676872725,Structure-1
250.0,0,-9.06805994625,-8.898602699,-8.905695859875001,-9.06805994625,Structure-1
260.0,0,-9.06845998025,-8.89877861025,-8.905841765875001,-9.06845998025,Structure-1
270.0,0,-9.068887753,-8.89897335425,-8.906004199500002,-9.068887753,Structure-1
280.0,0,-9.069343597,-8.899187755,-8.906183968,-9.069343597,Structure-1
290.0,0,-9.0698278055,-8.899422593,-8.906381842125,-9.0698278055,Structure-1
300.0,0,-9.07034063425,-8.899678603749999,-8.906598555,-9.07034063425,Structure-1
310.0,0,-9.07088230525,-8.899956476249999,-8.9068348005,-9.07088230525,Structure-1
320.0,0,-9.07145301025,-8.900256854,-8.907091233125001,-9.07145301025,Structure-1
330.0,0,-9.072052912,-8.90058033525,-8.907368467125002,-9.072052912,Structure-1
340.0,0,-9.07268214825,-8.90092747275,-8.907667077500001,-9.07268214825,Structure-1
350.0,0,-9.073340832,-8.90129877525,-8.907987599250001,-9.073340832,Structure-1
360.0,0,-9.07402905375,-8.901694709,-8.908330529,-9.07402905375,Structure-1
370.0,0,-9.07474688425,-8.90211569875,-8.908696325125002,-9.07474688425,Structure-1
380.0,0,-9.075494374,-8.902562129,-8.909085409500001,-9.075494374,Structure-1
390.0,0,-9.0762715565,-8.9030343465,-8.909498168,-9.0762715565,Structure-1
400.0,0,-9.0770784475,-8.903532661,-8.909934952125,-9.0770784475,Structure-1
410.0,0,-9.07791504825,-8.904057348,-8.91039608025,-9.07791504825,Structure-1
420.0,0,-9.07878134475,-8.9046086495,-8.91088183925,-9.07878134475,Structure-1
430.0,0,-9.07967730925,-8.905186776999999,-8.911392485750001,-9.07967730925,Structure-1
440.0,0,-9.08060290175,-8.905791912,-8.911928247750001,-9.08060290175,Structure-1
450.0,0,-9.08155807,-8.906424208499999,-8.912489326125002,-9.08155807,Structure-1
460.0,0,-9.08254275125,-8.907083795,-8.913075895625001,-9.08254275125,Structure-1
470.0,0,-9.0835568715,-8.9077707755,-8.913688107250001,-9.0835568715,Structure-1
480.0,0,-9.08460034825,-8.908485231,-8.914326088625002,-9.08460034825,Structure-1
490.0,0,-9.085673089,-8.909227222,-8.914989946250001,-9.085673089,Structure-1
500.0,0,-9.08677499375,-8.90999678875,-8.915679766250001,-9.08677499375,Structure-1
510.0,0,-9.0879059545,-8.91079395375,-8.916395615875,-9.0879059545,Structure-1
520.0,0,-9.0890658565,-8.911618722,-8.91713754475,-9.0890658565,Structure-1
530.0,0,-9.090254578,-8.912471083,-8.917905586000002,-9.090254578,Structure-1
540.0,0,-9.0914719915,-8.91335101225,-8.918699757375,-9.0914719915,Structure-1
550.0,0,-9.09271796425,-8.91425847075,-8.919520062250001,-9.09271796425,Structure-1
560.0,0,-9.09399235775,-8.9151934085,-8.92036649075,-9.09399235775,Structure-1
570.0,0,-9.0952950295,-8.91615576325,-8.92123902075,-9.0952950295,Structure-1
580.0,0,-9.096625833,-8.91714546225,-8.9221376185,-9.096625833,Structure-1
590.0,0,-9.09798461725,-8.91816242375,-8.923062239875001,-9.09798461725,Structure-1
600.0,0,-9.0993712285,-8.919206556999999,-8.924012830750002,-9.0993712285,Structure-1
610.0,0,-9.1007855095,-8.92027776325,-8.924989328250001,-9.1007855095,Structure-1
620.0,0,-9.1022273005,-8.9213759365,-8.925991661000001,-9.1022273005,Structure-1
630.0,0,-9.1036964395,-8.922500964,-8.927019750125002,-9.1036964395,Structure-1
640.0,0,-9.10519276175,-8.9236527275,-8.928073509625001,-9.10519276175,Structure-1
650.0,0,-9.1067161015,-8.9248311025,-8.929152847000001,-9.1067161015,Structure-1
660.0,0,-9.10826629075,-8.92603596025,-8.93025766425,-9.10826629075,Structure-1
670.0,0,-9.10984316075,-8.9272671675,-8.9313878575,-9.10984316075,Structure-1
680.0,0,-9.1114465405,-8.92852458725,-8.9325433185,-9.1114465405,Structure-1
690.0,0,-9.11307625975,-8.929808078,-8.93372393425,-9.11307625975,Structure-1
700.0,0,-9.114732146,-8.9311174965,-8.93492958775,-9.114732146,Structure-1
710.0,0,-9.116414027,-8.932452696,-8.936160158500002,-9.116414027,Structure-1
720.0,0,-9.11812173,-8.9338135275,-8.937415522875002,-9.11812173,Structure-1
730.0,0,-9.119855082,-8.9351998395,-8.938695554,-9.119855082,Structure-1
740.0,0,-9.12161390975,-8.936611479749999,-8.9400001225,-9.12161390975,Structure-1
750.0,0,-9.12339804075,-8.93804829325,-8.941329096875,-9.12339804075,Structure-1
760.0,0,-9.12520730175,-8.9395101245,-8.942682343500001,-9.12520730175,Structure-1
770.0,0,-9.1270415205,-8.94099681675,-8.944059726875,-9.1270415205,Structure-1
780.0,0,-9.128900525,-8.9425082125,-8.94546111,-9.128900525,Structure-1
790.0,0,-9.1307841435,-8.9440441535,-8.946886354625,-9.1307841435,Structure-1
800.0,0,-9.13269220525,-8.94560448075,-8.948335321375001,-9.13269220525,Structure-1
810.0,0,-9.13462453975,-8.94718903575,-8.949807869750002,-9.13462453975,Structure-1
820.0,0,-9.136580978,-8.94879765875,-8.95130385875,-9.136580978,Structure-1
830.0,0,-9.138561351,-8.95043019125,-8.952823146625,-9.138561351,Structure-1
840.0,0,-9.14056549125,-8.95208647375,-8.954365591250001,-9.14056549125,Structure-1
850.0,0,-9.14259323175,-8.95376634775,-8.95593105,-9.14259323175,Structure-1
860.0,0,-9.14464440725,-8.955469655,-8.957519380375,-9.14464440725,Structure-1
870.0,0,-9.14671885275,-8.957196237,-8.9591304395,-9.14671885275,Structure-1
880.0,0,-9.148816405,-8.958945937,-8.96076408475,-9.148816405,Structure-1
890.0,0,-9.15093690125,-8.96071859775,-8.96242017375,-9.15093690125,Structure-1
900.0,0,-9.15308018075,-8.96251406325,-8.964098564,-9.15308018075,Structure-1
910.0,0,-9.155246083,-8.96433217825,-8.965799113625001,-9.155246083,Structure-1
920.0,0,-9.15743444975,-8.9661727885,-8.967521681000001,-9.15743444975,Structure-1
930.0,0,-9.15964512325,-8.96803574,-8.969266125,-9.15964512325,Structure-1
940.0,0,-9.1618779475,-8.96992088025,-8.971032305125,-9.1618779475,Structure-1
950.0,0,-9.16413276775,-8.971828057749999,-8.9728200815,-9.16413276775,Structure-1
