temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0,stable_struct_class
0.0,0,0.0,0.16725706424999842,0.15994494462500342,1
0.0,1,0.0,0.14765399813194513,0.140151029657547,1
0.0,2,0.0,0.128558313474187,0.12086601631281368,1
0.0,3,0.0,0.10995652738721517,0.10207640437051246,1
0.0,4,0.0,0.09183535363935746,0.0837688903747047,1
0.0,5,0.0,0.07418170265679436,0.06593036763379878,1
0.0,6,0.0,0.056982681523551904,0.04854792622056259,1
0.0,7,0.0,0.040225593981492835,0.03160885297210214,1
0.0,8,0.0,0.023897940430336106,0.015100631489888272,1
0.0,9,0.000989057860268261,0.00897647578790206,0.0,0
0.0,10,0.01667233794820433,0.009154258136996773,0.0,0
0.0,11,0.03196113487939911,0.009330672466463241,0.0,0
0.0,12,0.04686717799499185,0.009505735148527705,0.0,0
0.0,13,0.06140199987176054,0.009679462448913156,0.0,0
0.0,14,0.07557693632213791,0.00985187052683223,0.0,0
0.0,15,0.08940312639420611,0.01002297543499786,0.0,0
0.0,16,0.10289151237169669,0.010192793119616184,0.0,0
0.0,17,0.11605283977398884,0.010361339420384752,0.0,0
0.0,18,0.12889765735610936,0.010528630070496092,0.0,0
0.0,19,0.14143631710873983,0.010694680696641257,0.0,0
0.0,20,0.15367897425820765,0.010859506818999165,0.0,0
0.0,21,0.16563558726648786,0.01102312385124904,0.0,0
0.0,22,0.1773159178312076,0.011185547100561521,0.0,0
0.0,23,0.1887295308856416,0.01134679176760045,0.0,0
0.0,24,0.19988579459871758,0.01150687294652819,0.0,0
0.0,25,0.21079388037500646,0.011665805624998526,0.0,0
0.0,26,0.22146276285473476,0.011823604684161992,0.0,0
0.0,27,0.23190121991377133,0.01198028489865699,0.0,0
0.0,28,0.24211783266363973,0.012135860936625775,0.0,0
0.0,29,0.25212098545151207,0.012290347359697584,0.0,0
0.0,30,0.2619188658602063,0.01244375862299929,0.0,0
0.0,31,0.271519464708196,0.012596109075153628,0.0,0
0.0,32,0.28093057604959704,0.012747412958272974,0.0,0
0.0,33,0.29015979717417917,0.012897684407968235,0.0,0
0.0,34,0.29921452860736064,0.013046937453346175,0.0,0
0.0,35,0.30810197411020646,0.013195186017000538,0.0,0
0.0,36,0.3168291406794337,0.01334244391502537,0.0,0
0.0,37,0.3254028385474079,0.013488724857008805,0.0,0
0.0,38,0.3338296811821442,0.013634042446033057,0.0,0
0.0,39,0.3421160852873051,0.013778410178673539,0.0,0
0.0,40,0.35026827080220624,0.01392184144499975,0.0,0
0.0,41,0.3582922609018073,0.014064349528577047,0.0,0
0.0,42,0.36619388199672187,0.014205947606464875,0.0,0
0.0,43,0.3739787637332128,0.01434664874921765,0.0,0
0.0,44,0.3816523389931863,0.01448646592088032,0.0,0
0.0,45,0.38921984389420494,0.014625411978999026,0.0,0
0.0,46,0.39668631778947727,0.01476349967460866,0.0,0
0.0,47,0.4040566032678612,0.014900741652240868,0.0,0
0.0,48,0.411335346153864,0.015037150449921377,0.0,0
0.0,49,0.4185269955076434,0.015172738499169114,0.0,0
0.0,50,0.4256358036250045,0.015307518124999753,0.0,0
0.0,51,0.4326658260374021,0.015441501545920389,0.0,0
0.0,52,0.43962092151194376,0.015574700873936642,0.0,0
0.0,53,0.4465047520513803,0.015707128114544666,0.0,0
0.0,54,0.4533207828941155,0.015838795166736475,0.0,0
0.0,55,0.4600722825142034,0.015969713822998166,0.0,0
0.0,56,0.466762322621344,0.01609989576931259,0.0,0
0.0,57,0.47339377816088923,0.016229352585151346,0.0,0
0.0,58,0.4799693273138397,0.016358095743487233,0.0,0
0.0,59,0.48649145149684614,0.01648613661078535,0.0,0
0.0,60,0.49296243536220263,0.016613486446996895,0.0,0
0.0,61,0.49938436679786147,0.016740156405584017,0.0,0
0.0,62,0.5057591369274208,0.016866157533488746,0.0,0
0.0,63,0.5120884401101256,0.016991500771152523,0.0,0
0.0,64,0.5183737739408709,0.017116196952512652,0.0,0
0.0,65,0.5246164392502015,0.017240256804997856,0.0,0
0.0,66,0.5308175401043158,0.017363690949535382,0.0,0
0.0,67,0.5369779838050555,0.01748650990054479,0.0,0
0.0,68,0.5430984808899124,0.017608724065936165,0.0,0
0.0,69,0.5491795451320316,0.017730343747119903,0.0,0
0.0,70,0.555221493540202,0.017851379138997814,0.0,0
0.0,71,0.5612244463588656,0.01797184032996757,0.0,0
0.0,72,0.5671883270681146,0.018091737301919153,0.0,0
0.0,73,0.5731128623836854,0.018211079930239293,0.0,0
0.0,74,0.5789975822569682,0.01832987798380703,0.0,0
0.0,75,0.5848418198750025,0.01844814112499904,0.0,0
0.0,76,0.590644711660472,0.018565878909679867,0.0,0
0.0,77,0.596405197271717,0.018683100787215245,0.0,0
0.0,78,0.6021220196027208,0.018799816100463218,0.0,0
0.0,79,0.6077937247831215,0.018916034085775912,0.0,0
0.0,80,0.6134186621782014,0.019031763872998653,0.0,0
0.0,81,0.6189949843888938,0.019147014485470848,0.0,0
0.0,82,0.6245206472517832,0.01926179484003221,0.0,0
0.0,83,0.629993409839102,0.01937611374700765,0.0,0
0.0,84,0.6354108344587299,0.019489979910223276,0.0,0
0.0,85,0.6407702866541989,0.0196034019269975,0.0,0
0.0,86,0.6460689352046929,0.019716388288144593,0.0,0
0.0,87,0.6513037521250347,0.019828947377967587,0.0,0
0.0,88,0.6564715126657052,0.01994108747427159,0.0,0
0.0,89,0.661568795312836,0.020052816748352242,0.0,0
0.0,90,0.6665919817881996,0.02016414326499838,0.0,0
0.0,91,0.6715372570492271,0.020275074982497365,0.0,0
