temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0,e_min,stable_struct
0.0,25,-7.835870474749999,-8.0349985495,-8.046664355125001,-8.046664355125001,Structure-0
10.0,25,-7.8358705015,-8.034998551,-8.04666435625,-8.04666435625,Structure-0
20.0,25,-7.8358710165,-8.03499858225,-8.046664376875,-8.046664376875,Structure-0
30.0,25,-7.835873167749999,-8.034998722,-8.046664469000001,-8.046664469000001,Structure-0
40.0,25,-7.835878322999999,-8.034999101999999,-8.04666472,-8.04666472,Structure-0
50.0,25,-7.835887872499999,-8.034999911249999,-8.046665256,-8.046665256,Structure-0
60.0,25,-7.835903216249999,-8.035001399999999,-8.046666246875,-8.046666246875,Structure-0
70.0,25,-7.835925780499999,-8.03500388775,-8.046667914375,-8.046667914375,Structure-0
80.0,25,-7.835957028249999,-8.035007775999999,-8.04667054475,-8.04667054475,Structure-0
90.0,25,-7.835998454499999,-8.035013559,-8.046674502625,-8.046674502625,Structure-0
100.0,25,-7.8360515705,-8.0350218315,-8.046680242125001,-8.046680242125001,Structure-0
110.0,25,-7.836117883249999,-8.03503328875,-8.0466883115,-8.0466883115,Structure-0
120.0,25,-7.836198872249999,-8.03504871975,-8.04669935175,-8.04669935175,Structure-0
130.0,25,-7.836295969249999,-8.035068995,-8.046714087875001,-8.046714087875001,Structure-0
140.0,25,-7.836410541499999,-8.035095051999999,-8.04673331775,-8.04673331775,Structure-0
150.0,25,-7.8365438785,-8.03512788025,-8.046757899000001,-8.046757899000001,Structure-0
160.0,25,-7.836697183749999,-8.0351685065,-8.046788734875001,-8.046788734875001,Structure-0
170.0,25,-7.836871569249999,-8.035217981499999,-8.046826762750001,-8.046826762750001,Structure-0
180.0,25,-7.837068053999999,-8.03527737,-8.046872942250001,-8.046872942250001,Structure-0
190.0,25,-7.83728756625,-8.035347739999999,-8.0469282455,-8.0469282455,Structure-0
200.0,25,-7.837530945499999,-8.035430155,-8.046993649125001,-8.046993649125001,Structure-0
210.0,25,-7.8377989485,-8.0355256655,-8.047070126000001,-8.047070126000001,Structure-0
220.0,25,-7.838092254249999,-8.035635303749999,-8.047158639125001,-8.047158639125001,Structure-0
230.0,25,-7.8384114695,-8.03576007775,-8.047260136125,-8.047260136125,Structure-0
240.0,25,-7.838757135499999,-8.035900965249999,-8.047375544000001,-8.047375544000001,Structure-0
250.0,25,-7.839129733999999,-8.036058911249999,-8.0475057645,-8.0475057645,Structure-0
260.0,25,-7.839529692249999,-8.03623482225,-8.047651671,-8.047651671,Structure-0
270.0,25,-7.839957388249999,-8.036429565999999,-8.047814105250001,-8.047814105250001,Structure-0
280.0,25,-7.840413154999999,-8.0366439665,-8.04799387425,-8.04799387425,Structure-0
290.0,25,-7.8408972855,-8.03687880425,-8.048191749,-8.048191749,Structure-0
300.0,25,-7.841410035749999,-8.0371348145,-8.048408462500001,-8.048408462500001,Structure-0
310.0,25,-7.841951627749999,-8.037412686749999,-8.048644708625,-8.048644708625,Structure-0
320.0,25,-7.842522252999999,-8.03771306425,-8.048901141750001,-8.048901141750001,Structure-0
330.0,25,-7.843122074999999,-8.038036544999999,-8.0491783765,-8.0491783765,Structure-0
340.0,25,-7.84375123075,-8.03838368225,-8.0494769875,-8.0494769875,Structure-0
350.0,25,-7.844409833499999,-8.03875498425,-8.049797510000001,-8.049797510000001,Structure-0
360.0,25,-7.845097973999999,-8.03915091775,-8.050140440375001,-8.050140440375001,Structure-0
370.0,25,-7.845815722749999,-8.039571907,-8.050506237250001,-8.050506237250001,Structure-0
380.0,25,-7.846563130749999,-8.040018337,-8.050895322375,-8.050895322375,Structure-0
390.0,25,-7.847340230749999,-8.040490554,-8.051308081625,-8.051308081625,Structure-0
400.0,25,-7.8481470395,-8.040988868249999,-8.051744866375001,-8.051744866375001,Structure-0
410.0,25,-7.848983557249999,-8.041513554749999,-8.05220599525,-8.05220599525,Structure-0
420.0,25,-7.8498497705,-8.042064856,-8.052691755000001,-8.052691755000001,Structure-0
