temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0
390.0,50,-6.811625045,-7.21597505675,-7.230434278250001
400.0,50,-6.81243187125,-7.21647337125,-7.230871062375
410.0,50,-6.813268406750001,-7.21699805825,-7.231332190625
420.0,50,-6.8141346377500005,-7.21754935975,-7.23181794975
430.0,50,-6.81503053675,-7.218127487,-7.23232859625
440.0,50,-6.815956063250001,-7.21873262175,-7.232864358375
450.0,50,-6.816911165750001,-7.21936491825,-7.23342543675
460.0,50,-6.817895780750001,-7.22002450475,-7.234012006375
470.0,50,-6.81890983475,-7.220711485,-7.234624218
480.0,50,-6.819953244750001,-7.2214259405,-7.235262199375001
490.0,50,-6.821025919,-7.2221679315,-7.235926057125
500.0,50,-6.8221277570000005,-7.22293749825,-7.236615877125001
510.0,50,-6.823258651000001,-7.223734663,-7.237331726875
520.0,50,-6.82441848575,-7.224559431,-7.23807365575
530.0,50,-6.825607140250001,-7.225411792,-7.238841697
540.0,50,-6.8268244865000005,-7.22629172075,-7.239635868375
550.0,50,-6.828070391500001,-7.227199179499999,-7.24045617325
560.0,50,-6.829344717750001,-7.228134117,-7.241302601875001
570.0,50,-6.830647322,-7.22909647125,-7.242175131875
580.0,50,-6.831978057750001,-7.23008617025,-7.243073729625
590.0,50,-6.83333677425,-7.2311031315,-7.243998351
600.0,50,-6.8347233175,-7.23214726475,-7.244948941875
610.0,50,-6.8361375305,-7.23321847075,-7.245925439500001
620.0,50,-6.8375792535,-7.23431664375,-7.24692777225
630.0,50,-6.8390483245,-7.235441671,-7.247955861375
640.0,50,-6.8405445785,-7.23659343425,-7.249009620875
650.0,50,-6.84206785,-7.237771809,-7.25008895825
660.0,50,-6.8436179710000005,-7.23897666675,-7.2511937755
670.0,50,-6.8451947725,-7.24020787375,-7.25232396875
680.0,50,-6.8467980840000005,-7.241465293,-7.25347942975
690.0,50,-6.8484277345,-7.24274878375,-7.2546600455
700.0,50,-6.85008355225,-7.244058202,-7.255865699
710.0,50,-6.85176536475,-7.24539340125,-7.257096269875
720.0,50,-6.853472999,-7.2467542325,-7.258351634125
730.0,50,-6.85520628225,-7.2481405445,-7.259631665250001
740.0,50,-6.8569650415000005,-7.24955218425,-7.26093623375
750.0,50,-6.8587491035,-7.250988997499999,-7.262265208125
760.0,50,-6.860558295750001,-7.2524508285,-7.26361845475
770.0,50,-6.8623924455,-7.25393752075,-7.264995838125
780.0,50,-6.864251381000001,-7.255448916,-7.26639722125
790.0,50,-6.8661349305,-7.25698485675,-7.267822465875001
800.0,50,-6.86804292325,-7.25854518375,-7.269271432625
810.0,50,-6.869975188750001,-7.26012973825,-7.270743981
820.0,50,-6.87193155775,-7.26173836125,-7.27223997
830.0,50,-6.87391186175,-7.263370893499999,-7.273759257875
840.0,50,-6.87591593275,-7.26502717575,-7.275301702375001
850.0,50,-6.87794360425,-7.2667070495,-7.276867161125001
860.0,50,-6.8799947105,-7.268410356249999,-7.278455491375
870.0,50,-6.8820690867500005,-7.270136938,-7.280066550625
880.0,50,-6.8841665697500005,-7.27188663775,-7.281700195875
890.0,50,-6.88628699675,-7.27365929825,-7.28335628475
900.0,50,-6.888430206750001,-7.2754547635,-7.285034675
910.0,50,-6.89059603975,-7.27727287825,-7.286735224625001
920.0,50,-6.892784337,-7.279113488,-7.288457791875
930.0,50,-6.89499494125,-7.28097643925,-7.290202236
940.0,50,-6.897227696000001,-7.282861579249999,-7.291968416
950.0,50,-6.89948244675,-7.2847687565,-7.29375619225
960.0,50,-6.90175903975,-7.28669782,-7.295565425375
970.0,50,-6.90405732275,-7.28864862075,-7.297395976625
980.0,50,-6.9063771452500005,-7.29062100975,-7.29924770825
990.0,50,-6.908718357750001,-7.29261483975,-7.301120483125
1000.0,50,-6.911080812000001,-7.294629964749999,-7.303014165125
0.0,75,-5.8515130995,-6.41790677825,-6.436354919375
10.0,75,-5.851513126,-6.41790677975,-6.4363549205
20.0,75,-5.85151364125,-6.417906811,-6.436354941125
30.0,75,-5.851515793000001,-6.41790695075,-6.43635503325
40.0,75,-5.851520949,-6.417907331,-6.43635528425
50.0,75,-5.851530499750001,-6.41790814025,-6.43635582025
60.0,75,-5.85154584525,-6.41790962875,-6.436356811125
70.0,75,-5.851568411750001,-6.4179121165,-6.436358478625
80.0,75,-5.851599661750001,-6.41791600475,-6.436361108875
90.0,75,-5.85164109075,-6.417921788,-6.43636506675
100.0,75,-5.851694209750001,-6.4179300605,-6.436370806125
110.0,75,-5.8517605255000005,-6.41794151775,-6.4363788755
120.0,75,-5.8518415177500005,-6.417956948750001,-6.436389915625
130.0,75,-5.851938618,-6.417977224,-6.436404651625
140.0,75,-5.852053193750001,-6.41800328125,-6.4364238815
150.0,75,-5.8521865345,-6.41803610975,-6.4364484625
160.0,75,-5.8523398435,-6.418076736,-6.43647929825
170.0,75,-5.852514232500001,-6.41812621125,-6.436517325875
180.0,75,-5.852710721,-6.41818559975,-6.436563505125
190.0,75,-5.852930237250001,-6.41825597,-6.436618808125
200.0,75,-5.853173620500001,-6.41833838525,-6.436684211375
210.0,75,-5.8534416277500005,-6.418433896,-6.436760687875
220.0,75,-5.8537349372500005,-6.4185435345,-6.43684920075
230.0,75,-5.85405415675,-6.41866830875,-6.436950697375
240.0,75,-5.854399827000001,-6.4188091965,-6.43706610475
250.0,75,-5.854772429750001,-6.4189671425000006,-6.437196324875
260.0,75,-5.8551723925,-6.419143054,-6.437342231
270.0,75,-5.8556000925000005,-6.419337798,-6.437504664625
280.0,75,-5.85605586375,-6.41955219875,-6.437684433125
290.0,75,-5.856539998750001,-6.41978703675,-6.437882307375
300.0,75,-5.8570527532500005,-6.42004304725,-6.43809902025
310.0,75,-5.85759435,-6.42032091975,-6.43833526575
320.0,75,-5.858164979750001,-6.42062129775,-6.438591698375
330.0,75,-5.858764806250001,-6.42094477875,-6.4388689325
340.0,75,-5.859393966750001,-6.42129191625,-6.439167542875
350.0,75,-5.86005257425,-6.42166321875,-6.439488064625
360.0,75,-5.860740719500001,-6.42205915225,-6.439830994375
370.0,75,-5.861458473000001,-6.422480142,-6.440196790625
380.0,75,-5.862205885500001,-6.422926572,-6.440585875
390.0,75,-5.862982990500001,-6.4233987895,-6.440998633375
400.0,75,-5.8637898037500005,-6.423897104,-6.4414354175
410.0,75,-5.864626326500001,-6.42442179075,-6.441896545625
420.0,75,-5.8654925445,-6.42497309225,-6.442382304625
430.0,75,-5.866388430750001,-6.4255512195,-6.442892951125
440.0,75,-5.8673139445,-6.42615635425,-6.443428713125
450.0,75,-5.868269034000001,-6.4267886505,-6.443989791375
460.0,75,-5.869253636000001,-6.427448237,-6.444576360875
470.0,75,-5.870267677,-6.428135217,-6.445188572375
480.0,75,-5.87131107425,-6.4288496725,-6.44582655375
490.0,75,-5.872383735250001,-6.42959166325,-6.44649041125
500.0,75,-5.873485560250001,-6.43036122975,-6.44718023125
510.0,75,-5.874616441250001,-6.4311583945,-6.44789608075
520.0,75,-5.8757762630000006,-6.4319831625,-6.448638009625
530.0,75,-5.8769649045,-6.4328355232500005,-6.44940605075
540.0,75,-5.878182237500001,-6.433715452,-6.450200222
550.0,75,-5.87942812975,-6.4346229105,-6.45102052675
560.0,75,-5.8807024427500005,-6.43555784775,-6.45186695525
570.0,75,-5.8820050340000005,-6.4365202022500005,-6.452739485125
580.0,75,-5.8833357565,-6.437509901,-6.45363808275
590.0,75,-5.88469446,-6.438526862,-6.454562704
600.0,75,-5.88608099025,-6.439570995,-6.45551329475
610.0,75,-5.88749519025,-6.440642201,-6.456489792125
620.0,75,-5.8889369,-6.44174037375,-6.45749212475
630.0,75,-5.8904059577500005,-6.442865401,-6.45852021375
640.0,75,-5.89190219875,-6.444017164,-6.459573973125
650.0,75,-5.893425457,-6.44519553875,-6.460653310375
660.0,75,-5.894975565,-6.4464003962500005,-6.461758127375
670.0,75,-5.896552353250001,-6.4476316032500005,-6.462888320625
680.0,75,-5.898155651500001,-6.44888902225,-6.464043781375
690.0,75,-5.89978528875,-6.45017251275,-6.465224397
700.0,75,-5.901441093250001,-6.451481931,-6.466430050375
710.0,75,-5.903122892500001,-6.45281713,-6.467660621
720.0,75,-5.90483051375,-6.454177961,-6.468915985125
730.0,75,-5.90656378375,-6.45556427275,-6.470196016
740.0,75,-5.90832252975,-6.4569759125,-6.4715005845
