temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0,stable_struct_class
0.0,0,10.0,0.047257064249998426,0.03994494462500342,0
0.0,1,10.0,0.027653998131945134,0.020151029657547004,0
0.0,2,10.0,0.008558313474187007,0.0008660163128136888,0
0.0,3,10.0,10.0,10.0,1
0.0,4,10.0,10.0,10.0,1
0.0,5,10.0,10.0,10.0,1
0.0,6,10.0,10.0,10.0,1
0.0,7,10.0,10.0,10.0,1
0.0,8,10.0,10.0,10.0,1
0.0,9,10.0,10.0,10.0,1
0.0,10,10.0,10.0,10.0,1
0.0,11,10.0,10.0,10.0,1
0.0,12,10.0,10.0,10.0,1
0.0,13,10.0,10.0,10.0,1
0.0,14,10.0,10.0,10.0,1
0.0,15,10.0,10.0,10.0,1
0.0,16,10.0,10.0,10.0,1
0.0,17,10.0,10.0,10.0,1
0.0,18,0.008897657356109367,10.0,10.0,1
0.0,19,0.021436317108739833,10.0,10.0,1
0.0,20,0.03367897425820765,10.0,10.0,1
0.0,21,0.045635587266487865,10.0,10.0,1
0.0,22,0.0573159178312076,10.0,10.0,1
0.0,23,0.0687295308856416,10.0,10.0,1
0.0,24,0.07988579459871759,10.0,10.0,1
0.0,25,0.09079388037500646,10.0,10.0,1
0.0,26,0.10146276285473477,10.0,10.0,1
0.0,27,0.11190121991377133,10.0,10.0,1
0.0,28,0.12211783266363974,10.0,10.0,1
0.0,29,0.13212098545151207,10.0,10.0,1
0.0,30,0.1419188658602063,10.0,10.0,1
0.0,31,0.151519464708196,10.0,10.0,1
0.0,32,0.16093057604959704,10.0,10.0,1
0.0,33,0.17015979717417917,10.0,10.0,1
0.0,34,0.17921452860736065,10.0,10.0,1
0.0,35,0.18810197411020646,10.0,10.0,1
0.0,36,0.1968291406794337,10.0,10.0,1
0.0,37,0.20540283854740793,10.0,10.0,1
0.0,38,0.21382968118214418,10.0,10.0,1
0.0,39,0.2221160852873051,10.0,10.0,1
0.0,40,0.23026827080220624,10.0,10.0,1
0.0,41,0.23829226090180733,10.0,10.0,1
0.0,42,0.24619388199672188,10.0,10.0,1
0.0,43,0.2539787637332128,10.0,10.0,1
0.0,44,0.2616523389931863,10.0,10.0,1
0.0,45,0.26921984389420495,10.0,10.0,1
0.0,46,0.2766863177894773,10.0,10.0,1
0.0,47,0.2840566032678612,10.0,10.0,1
0.0,48,0.291335346153864,10.0,10.0,1
0.0,49,0.2985269955076434,10.0,10.0,1
0.0,50,0.30563580362500453,10.0,10.0,1
0.0,51,0.3126658260374021,10.0,10.0,1
0.0,52,0.31962092151194377,10.0,10.0,1
0.0,53,0.3265047520513803,10.0,10.0,1
0.0,54,0.3333207828941155,10.0,10.0,1
0.0,55,0.3400722825142034,10.0,10.0,1
0.0,56,0.346762322621344,10.0,10.0,1
0.0,57,0.35339377816088924,10.0,10.0,1
0.0,58,0.3599693273138397,10.0,10.0,1
0.0,59,0.36649145149684614,10.0,10.0,1
0.0,60,0.37296243536220264,10.0,10.0,1
0.0,61,0.37938436679786147,10.0,10.0,1
0.0,62,0.3857591369274208,10.0,10.0,1
0.0,63,0.39208844011012556,10.0,10.0,1
0.0,64,0.3983737739408709,10.0,10.0,1
0.0,65,0.4046164392502015,10.0,10.0,1
0.0,66,0.4108175401043158,10.0,10.0,1
0.0,67,0.41697798380505546,10.0,10.0,1
0.0,68,0.4230984808899124,10.0,10.0,1
0.0,69,0.4291795451320316,10.0,10.0,1
0.0,70,0.435221493540202,10.0,10.0,1
0.0,71,0.4412244463588656,10.0,10.0,1
0.0,72,0.4471883270681146,10.0,10.0,1
0.0,73,0.4531128623836854,10.0,10.0,1
0.0,74,0.4589975822569682,10.0,10.0,1
0.0,75,0.4648418198750025,10.0,10.0,1
0.0,76,0.47064471166047206,10.0,10.0,1
0.0,77,0.47640519727171704,10.0,10.0,1
0.0,78,0.48212201960272083,10.0,10.0,1
0.0,79,0.48779372478312155,10.0,10.0,1
0.0,80,0.4934186621782014,10.0,10.0,1
0.0,81,0.4989949843888938,10.0,10.0,1
0.0,82,0.5045206472517832,10.0,10.0,1
0.0,83,0.509993409839102,10.0,10.0,1
0.0,84,0.5154108344587299,10.0,10.0,1
0.0,85,0.5207702866541989,10.0,10.0,1
0.0,86,0.5260689352046929,10.0,10.0,1
0.0,87,0.5313037521250347,10.0,10.0,1
0.0,88,0.5364715126657053,10.0,10.0,1
0.0,89,0.541568795312836,10.0,10.0,1
0.0,90,0.5465919817881996,10.0,10.0,1
0.0,91,0.5515372570492271,10.0,10.0,1
0.0,92,0.5564006092889883,10.0,10.0,1
0.0,93,0.5611778299362139,10.0,10.0,1
0.0,94,0.5658645136552752,10.0,10.0,1
0.0,95,0.5704560583461992,10.0,10.0,1
0.0,96,0.5749476651446549,10.0,10.0,1
0.0,97,0.5793343384219664,10.0,10.0,1
0.0,98,0.5836108857851051,10.0,10.0,1
0.0,99,0.5877719180766922,10.0,10.0,1
0.0,100,0.5918118493749979,10.0,10.0,1
10.0,0,10.0,0.04725708999999434,0.039944970749991815,0
10.0,1,10.0,0.02765402385946303,0.02015105572960707,0
10.0,2,10.0,0.008558339179283725,0.0008660423359528879,0
10.0,3,10.0,10.0,10.0,1
10.0,4,10.0,10.0,10.0,1
10.0,5,10.0,10.0,10.0,1
10.0,6,10.0,10.0,10.0,1
10.0,7,10.0,10.0,10.0,1
10.0,8,10.0,10.0,10.0,1
10.0,9,10.0,10.0,10.0,1
10.0,10,10.0,10.0,10.0,1
10.0,11,10.0,10.0,10.0,1
10.0,12,10.0,10.0,10.0,1
10.0,13,10.0,10.0,10.0,1
10.0,14,10.0,10.0,10.0,1
10.0,15,10.0,10.0,10.0,1
10.0,16,10.0,10.0,10.0,1
10.0,17,10.0,10.0,10.0,1
