temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0,stable_struct_class
0.0,0,10.0,10.0,10.0,1
10.0,0,10.0,10.0,10.0,1
20.0,0,10.0,10.0,10.0,1
30.0,0,10.0,10.0,10.0,1
40.0,0,10.0,10.0,10.0,1
50.0,0,10.0,10.0,10.0,1
60.0,0,10.0,10.0,10.0,1
70.0,0,10.0,10.0,10.0,1
80.0,0,10.0,10.0,10.0,1
90.0,0,10.0,10.0,10.0,1
100.0,0,10.0,10.0,10.0,1
110.0,0,10.0,10.0,10.0,1
120.0,0,10.0,10.0,10.0,1
130.0,0,10.0,10.0,10.0,1
140.0,0,10.0,10.0,10.0,1
150.0,0,10.0,10.0,10.0,1
160.0,0,10.0,10.0,10.0,1
170.0,0,10.0,10.0,10.0,1
180.0,0,10.0,10.0,10.0,1
190.0,0,10.0,10.0,10.0,1
200.0,0,10.0,10.0,10.0,1
210.0,0,10.0,10.0,10.0,1
220.0,0,10.0,10.0,10.0,1
230.0,0,10.0,10.0,10.0,1
240.0,0,10.0,10.0,10.0,1
250.0,0,10.0,10.0,10.0,1
260.0,0,10.0,10.0,10.0,1
270.0,0,10.0,10.0,10.0,1
280.0,0,10.0,10.0,10.0,1
290.0,0,10.0,10.0,10.0,1
300.0,0,10.0,10.0,10.0,1
310.0,0,10.0,10.0,10.0,1
320.0,0,10.0,10.0,10.0,1
330.0,0,10.0,10.0,10.0,1
340.0,0,10.0,10.0,10.0,1
350.0,0,10.0,10.0,10.0,1
360.0,0,10.0,10.0,10.0,1
370.0,0,10.0,10.0,10.0,1
380.0,0,10.0,10.0,10.0,1
390.0,0,10.0,10.0,10.0,1
400.0,0,10.0,10.0,10.0,1
410.0,0,10.0,10.0,10.0,1
420.0,0,10.0,10.0,10.0,1
430.0,0,10.0,10.0,10.0,1
440.0,0,10.0,10.0,10.0,1
450.0,0,10.0,10.0,10.0,1
460.0,0,10.0,10.0,10.0,1
470.0,0,10.0,10.0,10.0,1
480.0,0,10.0,10.0,10.0,1
490.0,0,10.0,10.0,10.0,1
500.0,0,10.0,10.0,10.0,1
510.0,0,10.0,10.0,10.0,1
520.0,0,10.0,10.0,10.0,1
530.0,0,10.0,10.0,10.0,1
540.0,0,10.0,10.0,10.0,1
550.0,0,10.0,10.0,10.0,1
560.0,0,10.0,10.0,10.0,1
570.0,0,10.0,10.0,10.0,1
580.0,0,10.0,10.0,10.0,1
590.0,0,10.0,10.0,10.0,1
600.0,0,10.0,0.00016467150000182285,10.0,2
610.0,0,10.0,0.0005077462499991081,10.0,2
620.0,0,10.0,0.0008513639999986888,10.0,2
630.0,0,10.0,0.001195475500000931,10.0,2
640.0,0,10.0,0.0015400342500002107,10.0,2
650.0,0,10.0,0.0018849989999993322,10.0,2
660.0,0,10.0,0.002230330500001265,10.0,2
670.0,0,10.0,0.0025759932499995197,10.0,2
680.0,0,10.0,0.0029219532500001644,10.0,2
690.0,0,10.0,0.003268181749999932,10.0,2
700.0,0,10.0,0.0036146494999990675,10.0,2
710.0,0,10.0,0.003961330999999013,0.00025386849999770034,0
720.0,0,10.0,0.004308202500000469,0.0007062071249987478,0
730.0,0,10.0,0.004655242500001655,0.0011595280000002428,0
740.0,0,10.0,0.005002430000000835,0.0016137872499989991,0
750.0,0,10.0,0.005349747500000113,0.0020689438750005062,0
760.0,0,10.0,0.0056971772500006845,0.002524958249999265,0
770.0,0,10.0,0.006044703750001268,0.0029817936250002286,0
780.0,0,10.0,0.006392312500000663,0.003439415000000501,0
790.0,0,10.0,0.006739989999999529,0.0038977888749990863,0
800.0,0,10.0,0.007087724500001336,0.004356883874999162,0
810.0,0,10.0,0.00743550399999976,0.0048166699999982465,0
820.0,0,10.0,0.0077833192500002535,0.005277119249999351,0
830.0,0,10.0,0.008131159750000172,0.005738204374999334,0
840.0,0,10.0,0.008479017499998853,0.006199899999998315,0
850.0,0,10.0,0.008826884000000923,0.006662181750000051,0
860.0,0,10.0,0.009174752250000473,0.007125026874999996,0
870.0,0,10.0,0.009522615750000518,0.007588413249999426,0
880.0,0,10.0,0.00987046800000052,0.008052320249999745,0
890.0,0,10.0,0.010218303500000026,0.00851672749999971,0
900.0,0,10.0,0.010566117500001304,0.008981616750000476,0
910.0,0,10.0,0.010913904749999481,0.009446969374998282,0
920.0,0,10.0,0.011261661249999555,0.009912768749998413,0
930.0,0,10.0,0.011609383250000327,0.01037899824999905,0
940.0,0,10.0,0.011957067250001507,0.010845642375000686,0
950.0,0,10.0,0.01230471000000194,0.011312686250000759,0
960.0,0,10.0,0.012652308500001375,0.011780115749999431,0
970.0,0,10.0,0.012999860000000474,0.012247916874999099,0
