temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0,e_min,stable_struct
0.0,50,-6.800154759750001,-7.21048304525,-7.225790563375,-7.225790563375,Structure-0
10.0,50,-6.8001547865,-7.210483047,-7.2257905645,-7.2257905645,Structure-0
20.0,50,-6.80015530275,-7.21048307825,-7.22579058525,-7.22579058525,Structure-0
30.0,50,-6.80015745725,-7.21048321775,-7.22579067725,-7.22579067725,Structure-0
40.0,50,-6.800162617500001,-7.210483598,-7.22579092825,-7.22579092825,Structure-0
50.0,50,-6.80017217375,-7.21048440725,-7.22579146425,-7.22579146425,Structure-0
60.0,50,-6.80018752575,-7.21048589575,-7.225792455125,-7.225792455125,Structure-0
70.0,50,-6.80021009925,-7.210488383499999,-7.225794122625,-7.225794122625,Structure-0
80.0,50,-6.80024135725,-7.21049227175,-7.225796753,-7.225796753,Structure-0
90.0,50,-6.8002827945,-7.210498054999999,-7.225800710875,-7.225800710875,Structure-0
100.0,50,-6.8003359225,-7.2105063275,-7.22580645025,-7.22580645025,Structure-0
110.0,50,-6.80040224775,-7.210517784749999,-7.225814519625,-7.225814519625,Structure-0
120.0,50,-6.80048324975,-7.21053321575,-7.22582555975,-7.22582555975,Structure-0
130.0,50,-6.800580360250001,-7.210553491,-7.22584029575,-7.22584029575,Structure-0
140.0,50,-6.80069494625,-7.21057954825,-7.225859525500001,-7.225859525500001,Structure-0
150.0,50,-6.800828297750001,-7.210612376749999,-7.225884106625,-7.225884106625,Structure-0
160.0,50,-6.800981617500001,-7.21065300275,-7.225914942375001,-7.225914942375001,Structure-0
170.0,50,-6.80115601775,-7.210702478,-7.22595297,-7.22595297,Structure-0
180.0,50,-6.801352517750001,-7.210761866749999,-7.225999149250001,-7.225999149250001,Structure-0
190.0,50,-6.80157204525,-7.210832237,-7.22605445225,-7.22605445225,Structure-0
200.0,50,-6.80181544,-7.210914652,-7.2261198555,-7.2261198555,Structure-0
210.0,50,-6.802083459,-7.21101016275,-7.226196332000001,-7.226196332000001,Structure-0
220.0,50,-6.8023767805,-7.21111980125,-7.226284844875,-7.226284844875,Structure-0
230.0,50,-6.80269601175,-7.2112445755,-7.2263863415,-7.2263863415,Structure-0
240.0,50,-6.803041694,-7.21138546325,-7.226501749,-7.226501749,Structure-0
250.0,50,-6.803414309,-7.2115434095,-7.226631969,-7.226631969,Structure-0
260.0,50,-6.80381428375,-7.211719320749999,-7.226777875125,-7.226777875125,Structure-0
270.0,50,-6.80424199625,-7.21191406475,-7.226940308875,-7.226940308875,Structure-0
280.0,50,-6.804697779750001,-7.2121284655,-7.227120077375,-7.227120077375,Structure-0
290.0,50,-6.8051819272500005,-7.2123633035,-7.227317951625,-7.227317951625,Structure-0
300.0,50,-6.8056946942500005,-7.212619314249999,-7.227534664625,-7.227534664625,Structure-0
310.0,50,-6.80623630325,-7.21289718675,-7.22777091025,-7.22777091025,Structure-0
320.0,50,-6.80680694575,-7.2131975645,-7.228027342875,-7.228027342875,Structure-0
330.0,50,-6.80740678475,-7.21352104575,-7.228304577,-7.228304577,Structure-0
340.0,50,-6.8080359577500005,-7.21386818325,-7.228603187375,-7.228603187375,Structure-0
