temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0,e_min,stable_struct
220.0,100,-4.96442088275,-5.65339075225,-5.6745052327500005,-5.6745052327500005,Structure-0
230.0,100,-4.96474009825,-5.6535155265,-5.674606729625,-5.674606729625,Structure-0
240.0,100,-4.96508576475,-5.6536564145,-5.67472213725,-5.67472213725,Structure-0
250.0,100,-4.96545836375,-5.653814360749999,-5.6748523575,-5.6748523575,Structure-0
260.0,100,-4.96585832225,-5.65399027225,-5.6749982638750005,-5.6749982638750005,Structure-0
270.0,100,-4.9662860185,-5.65418501625,-5.675160697875,-5.675160697875,Structure-0
280.0,100,-4.96674178575,-5.65439941725,-5.675340466625,-5.675340466625,Structure-0
290.0,100,-4.96722591675,-5.6546342555,-5.675538341125001,-5.675538341125001,Structure-0
300.0,100,-4.96773866725,-5.65489026625,-5.675755054250001,-5.675755054250001,Structure-0
310.0,100,-4.96828025975,-5.65516813875,-5.675991300125,-5.675991300125,Structure-0
320.0,100,-4.96885088575,-5.65546851675,-5.676247733,-5.676247733,Structure-0
330.0,100,-4.969450708,-5.655791998,-5.6765249675,-5.6765249675,Structure-0
340.0,100,-4.9700798645,-5.6561391355,-5.676823578125,-5.676823578125,Structure-0
350.0,100,-4.97073846775,-5.656510438,-5.6771441002500005,-5.6771441002500005,Structure-0
360.0,100,-4.97142660875,-5.65690637175,-5.67748703025,-5.67748703025,Structure-0
370.0,100,-4.97214435825,-5.6573273615,-5.677852826875,-5.677852826875,Structure-0
380.0,100,-4.9728917665,-5.65777379175,-5.678241911625,-5.678241911625,Structure-0
390.0,100,-4.97366886725,-5.65824600925,-5.678654670375,-5.678654670375,Structure-0
400.0,100,-4.9744756765,-5.65874432375,-5.679091454875,-5.679091454875,Structure-0
410.0,100,-4.975312195,-5.65926901075,-5.679552583375,-5.679552583375,Structure-0
420.0,100,-4.97617840875,-5.65982031225,-5.6800383427500005,-5.6800383427500005,Structure-0
430.0,100,-4.97707429075,-5.6603984395,-5.6805489896250005,-5.6805489896250005,Structure-0
440.0,100,-4.97799980025,-5.6610035745,-5.681084752,-5.681084752,Structure-0
450.0,100,-4.978954885499999,-5.661635871,-5.681645830625,-5.681645830625,Structure-0
460.0,100,-4.9799394835,-5.66229545725,-5.682232400625,-5.682232400625,Structure-0
470.0,100,-4.98095352025,-5.662982437499999,-5.6828446125,-5.6828446125,Structure-0
480.0,100,-4.98199691325,-5.663696893,-5.68348259425,-5.68348259425,Structure-0
490.0,100,-4.98306957025,-5.66443888375,-5.68414645225,-5.68414645225,Structure-0
500.0,100,-4.984171390999999,-5.6652084505,-5.684836272625001,-5.684836272625001,Structure-0
510.0,100,-4.9853022675,-5.666005615,-5.685552122625,-5.685552122625,Structure-0
520.0,100,-4.98646208525,-5.666830383,-5.6862940518750005,-5.6862940518750005,Structure-0
530.0,100,-4.98765072225,-5.667682744,-5.6870620935,-5.6870620935,Structure-0
540.0,100,-4.98886805125,-5.668562672749999,-5.687856265125,-5.687856265125,Structure-0
550.0,100,-4.99011393925,-5.66947013125,-5.688676570375001,-5.688676570375001,Structure-0
560.0,100,-4.991388248,-5.6704050685,-5.68952299925,-5.68952299925,Structure-0
570.0,100,-4.992690834999999,-5.671367423,-5.6903955295,-5.6903955295,Structure-0
580.0,100,-4.9940215535,-5.67235712175,-5.691294127625,-5.691294127625,Structure-0
590.0,100,-4.99538025275,-5.673374083,-5.692218749375,-5.692218749375,Structure-0
600.0,100,-4.99676677875,-5.674418215749999,-5.693169340625,-5.693169340625,Structure-0
610.0,100,-4.998180974499999,-5.67548942175,-5.6941458385,-5.6941458385,Structure-0
