energy-Structure-1,temp,pressure
-7.932941875249999,940.0,25
-7.935196607249999,950.0,25
-7.9374731815,960.0,25
-7.939771445999999,970.0,25
-7.942091249749999,980.0,25
-7.944432443499999,990.0,25
-7.94679487925,1000.0,25
-6.800154759750001,0.0,50
-6.8001547865,10.0,50
-6.80015530275,20.0,50
-6.80015745725,30.0,50
-6.800162617500001,40.0,50
-6.80017217375,50.0,50
-6.80018752575,60.0,50
-6.80021009925,70.0,50
-6.80024135725,80.0,50
-6.8002827945,90.0,50
-6.8003359225,100.0,50
-6.80040224775,110.0,50
-6.80048324975,120.0,50
-6.800580360250001,130.0,50
-6.80069494625,140.0,50
-6.800828297750001,150.0,50
-6.800981617500001,160.0,50
-6.80115601775,170.0,50
-6.801352517750001,180.0,50
-6.80157204525,190.0,50
-6.80181544,200.0,50
-6.802083459,210.0,50
-6.8023767805,220.0,50
-6.80269601175,230.0,50
-6.803041694,240.0,50
-6.803414309,250.0,50
-6.80381428375,260.0,50
-6.80424199625,270.0,50
-6.804697779750001,280.0,50
-6.8051819272500005,290.0,50
-6.8056946942500005,300.0,50
-6.80623630325,310.0,50
-6.80680694575,320.0,50
-6.80740678475,330.0,50
-6.8080359577500005,340.0,50
-6.80869457775,350.0,50
-6.809382736,360.0,50
-6.810100502,370.0,50
-6.8108479275,380.0,50
-6.811625045,390.0,50
-6.81243187125,400.0,50
-6.813268406750001,410.0,50
-6.8141346377500005,420.0,50
-6.81503053675,430.0,50
-6.815956063250001,440.0,50
-6.816911165750001,450.0,50
-6.817895780750001,460.0,50
-6.81890983475,470.0,50
-6.819953244750001,480.0,50
-6.821025919,490.0,50
-6.8221277570000005,500.0,50
-6.823258651000001,510.0,50
-6.82441848575,520.0,50
-6.825607140250001,530.0,50
-6.8268244865000005,540.0,50
-6.828070391500001,550.0,50
-6.829344717750001,560.0,50
-6.830647322,570.0,50
-6.831978057750001,580.0,50
-6.83333677425,590.0,50
-6.8347233175,600.0,50
-6.8361375305,610.0,50
-6.8375792535,620.0,50
-6.8390483245,630.0,50
-6.8405445785,640.0,50
-6.84206785,650.0,50
-6.8436179710000005,660.0,50
-6.8451947725,670.0,50
-6.8467980840000005,680.0,50
-6.8484277345,690.0,50
-6.85008355225,700.0,50
-6.85176536475,710.0,50
-6.853472999,720.0,50
-6.85520628225,730.0,50
-6.8569650415000005,740.0,50
-6.8587491035,750.0,50
-6.860558295750001,760.0,50
-6.8623924455,770.0,50
-6.864251381000001,780.0,50
-6.8661349305,790.0,50
-6.86804292325,800.0,50
-6.869975188750001,810.0,50
-6.87193155775,820.0,50
-6.87391186175,830.0,50
-6.87591593275,840.0,50
-6.87794360425,850.0,50
