temp,pressure,energy-1,energy-2,energy-0
0.0,0,-9.064799399499996,-8.897542335249998,-8.904854454874993
0.0,1,-9.009873453810286,-8.862219455678341,-8.869722424152739
0.0,2,-8.955527246409876,-8.826968932935689,-8.834661230097062
0.0,3,-8.901746759715946,-8.791790232328731,-8.799670355345434
0.0,4,-8.848518176831146,-8.756682823191788,-8.764749286456441
0.0,5,-8.795827881543593,-8.721646178886798,-8.729897513909794
0.0,6,-8.74366245832688,-8.686679776803327,-8.695114532106317
0.0,7,-8.692008692340059,-8.651783098358566,-8.660399839367956
0.0,8,-8.640853569427662,-8.616955628997326,-8.625752937937774
0.0,9,-8.590184276119684,-8.58219685819205,-8.591173333979953
0.0,10,-8.53998819963159,-8.547506279442798,-8.556660537579795
0.0,11,-8.49025292786432,-8.512883390277256,-8.52221406274372
0.0,12,-8.440966249404275,-8.478327692250739,-8.487833427399266
0.0,13,-8.39211615352333,-8.443838690946178,-8.453518153395091
0.0,14,-8.343690830178831,-8.409415895974137,-8.419267766500969
0.0,15,-8.29567867001359,-8.375058820972798,-8.385081796407796
0.0,16,-8.24806826435589,-8.34076698360797,-8.350959776727587
0.0,17,-8.200848405219483,-8.306539905573088,-8.316901244993472
0.0,18,-8.154008085303593,-8.272377112589206,-8.282905742659702
0.0,19,-8.107536497992909,-8.238278134405007,-8.248972815101649
0.0,20,-8.06142303735759,-8.204242504796799,-8.215102011615798
0.0,21,-8.01565729815327,-8.170269761568509,-8.181292885419758
0.0,22,-7.970229075821046,-8.136359446551692,-8.147544993652254
0.0,23,-7.925128366487488,-8.10251110560553,-8.11385789737313
0.0,24,-7.880345366964633,-8.068724288616822,-8.08023116156335
0.0,25,-7.835870474749991,-8.0349985495,-8.046664355124998
0.0,26,-7.791694288026537,-8.00133344619711,-8.013157050881272
0.0,27,-7.74780760566272,-7.967728540677834,-7.979708825576491
0.0,28,-7.704201427212455,-7.934183398939469,-7.946319259876095
0.0,29,-7.660866952915127,-7.900697591006941,-7.912987938366639
0.0,30,-7.617795583695592,-7.867270690932799,-7.879714449555799
0.0,31,-7.574978921164174,-7.833902276797216,-7.84649838587237
0.0,32,-7.532408767616667,-7.800591930707991,-7.813339343666264
0.0,33,-7.490077126034334,-7.767339238800545,-7.7802369232085145
0.0,34,-7.447976200083909,-7.7341437912379245,-7.74719072869127
0.0,35,-7.406098394117594,-7.7010051822108,-7.7142003682278
0.0,36,-7.364436313173059,-7.667923009937467,-7.681265453852492
0.0,37,-7.322982762973446,-7.634896876663845,-7.648385601520854
0.0,38,-7.281730749927366,-7.601926388663477,-7.61556043110951
0.0,39,-7.2406734811288995,-7.569011156237531,-7.582789566416205
0.0,40,-7.199804364357594,-7.536150793714801,-7.5500726351598
0.0,41,-7.159117008078471,-7.503344919451702,-7.517409268980279
0.0,42,-7.118605221442017,-7.470593155832274,-7.484799103438739
0.0,43,-7.07826301428419,-7.437895129268185,-7.452241778017402
0.0,44,-7.038084597126417,-7.405250470198723,-7.4197369361196035
0.0,45,-6.998064381175595,-7.372658813090801,-7.3872842250698
0.0,46,-6.958196978324091,-7.34011979643896,-7.354883296113568
0.0,47,-6.91847720114974,-7.30763306276536,-7.322533804417601
0.0,48,-6.878900062915846,-7.275198258619788,-7.29023540906971
0.0,49,-6.839460777571183,-7.242815034579658,-7.257987773078827
0.0,50,-6.800154759749997,-7.210483045250002,-7.225790563375002
0.0,51,-6.760977624772,-7.178201949263482,-7.193643450809402
0.0,52,-6.721925188642374,-7.145971409280381,-7.161546110154318
0.0,53,-6.682993468051773,-7.113791091988609,-7.129498220103153
0.0,54,-6.644178680376317,-7.081660668103696,-7.097499463270433
0.0,55,-6.605477243677598,-7.049579812368803,-7.065549526191801
0.0,56,-6.5668857767026765,-7.017548203554708,-7.0336480993240205
0.0,57,-6.528401098884081,-6.985565524459819,-7.00179487704497
0.0,58,-6.4900202303398125,-6.953631461910165,-6.969989557653652
0.0,59,-6.451740391873338,-6.921745706759399,-6.9382318433701835
0.0,60,-6.413559004973599,-6.8899079538888035,-6.906521440335801
0.0,61,-6.3754736918149995,-6.858117902207278,-6.874858058612862
0.0,62,-6.337482275257419,-6.826375254651351,-6.84324141218484
0.0,63,-6.299582778846203,-6.794679718185176,-6.811671218956328
0.0,64,-6.261773426812168,-6.763031003800526,-6.780147200753039
0.0,65,-6.2240526440716,-6.731428826516804,-6.7486690833218015
0.0,66,-6.186419056226252,-6.699872905381032,-6.717236596330568
0.0,67,-6.14887148956335,-6.66836296346786,-6.685849473368405
0.0,68,-6.111408971055587,-6.636898727879563,-6.654507451945499
0.0,69,-6.074030728361126,-6.605479929746037,-6.623210273493157
0.0,70,-6.0367361898236,-6.574106304224804,-6.591957683363802
0.0,71,-5.999524984472112,-6.54277759050101,-6.5607494308309775
0.0,72,-5.962396942021231,-6.511493531787426,-6.5295852690893454
0.0,73,-5.925352092871001,-6.480253875324447,-6.498464955254686
0.0,74,-5.888390668106931,-6.449058372380092,-6.467388250363899
0.0,75,-5.8515130995,-6.417906778250003,-6.4363549193750025
0.0,76,-5.814720019506659,-6.386798852257451,-6.405364731167131
0.0,77,-5.778012261268826,-6.355734357753327,-6.374417458540543
0.0,78,-5.741390858613888,-6.324713062116146,-6.343512878216609
0.0,79,-5.704857046054705,-6.29373473675205,-6.312650770837826
0.0,80,-5.668412258789601,-6.262799157094804,-6.281830920967803
0.0,81,-5.632058132702375,-6.231906102605798,-6.251053117091269
0.0,82,-5.5957965043622915,-6.201055356774043,-6.220317151614076
0.0,83,-5.559629411024087,-6.170246707116181,-6.189622820863189
0.0,84,-5.523559090627966,-6.139479945176473,-6.158969925086696
0.0,85,-5.487587981799603,-6.108754866526804,-6.128358268453802
0.0,86,-5.451718723850139,-6.078071270766687,-6.097787659054831
0.0,87,-5.4159541567761895,-6.047428961523257,-6.067257908901224
0.0,88,-5.380297321259839,-6.0168277464512725,-6.036768833925544
0.0,89,-5.344751458668635,-5.986267437233119,-6.006320253981471
0.0,90,-5.309320011055603,-5.955747849578804,-5.975911992843803
0.0,91,-5.274006621159231,-5.92526880322596,-5.945543878208458
0.0,92,-5.238815132403482,-5.894830121939846,-5.91521574169247
0.0,93,-5.203749588897782,-5.86443163351334,-5.884927418833996
0.0,94,-5.1688142354370346,-5.834073169766949,-5.85467874909231
0.0,95,-5.134013517501605,-5.803754566548804,-5.824469575847804
0.0,96,-5.099352081257333,-5.773475663734658,-5.794299746401988
0.0,97,-5.064834773555525,-5.7432363052278905,-5.764169111977491
0.0,98,-5.030466641932959,-5.713036338959503,-5.734077527718064
0.0,99,-4.996252934611881,-5.682875616888124,-5.7040248526885735
0.0,100,-4.962199100500007,-5.652753995000005,-5.674010949875004
10.0,0,-9.064799426749996,-8.897542336750002,-8.904854456000004
10.0,1,-9.009873481007356,-8.862219457147892,-8.869722425277748
10.0,2,-8.955527273558024,-8.82696893437874,-8.834661231222071
10.0,3,-8.901746786818997,-8.791790233749028,-8.799670356470441
10.0,4,-8.848518203892741,-8.756682824592867,-8.76474928758145
10.0,5,-8.795827908567198,-8.721646180272,-8.729897515034802
10.0,6,-8.74366248531578,-8.686679778175794,-8.695114533231324
10.0,7,-8.692008719297371,-8.65178309972125,-8.660399840492962
10.0,8,-8.640853596356338,-8.616955630352994,-8.62575293906278
10.0,9,-8.590184303022511,-8.58219685954328,-8.591173335104958
10.0,10,-8.539988226511198,-8.547506280791998,-8.5566605387048
10.0,11,-8.490252954723177,-8.512883391626657,-8.522214063868724
10.0,12,-8.440966276244705,-8.4783276936024,-8.487833428524269
10.0,13,-8.392116180347504,-8.443838692302,-8.453518154520093
10.0,14,-8.343690856988777,-8.409415897335856,-8.419267767625971
10.0,15,-8.295678696811198,-8.375058822341996,-8.385081797532798
10.0,16,-8.248068291142912,-8.34076698498608,-8.350959777852589
10.0,17,-8.200848431997539,-8.306539906961392,-8.316901246118473
10.0,18,-8.154008112074173,-8.272377113988847,-8.282905743784703
10.0,19,-8.10753652475738,-8.238278135816993,-8.24897281622665
10.0,20,-8.061423064117198,-8.204242506221997,-8.215102012740799
10.0,21,-8.015657324909142,-8.170269763007663,-8.181292886544757
10.0,22,-7.9702291025742,-8.136359448005424,-8.147544994777252
10.0,23,-7.925128393238826,-8.102511107074337,-8.11385789849813
10.0,24,-7.880345393714958,-8.068724290101088,-8.080231162688351
10.0,25,-7.835870501499999,-8.034998550999997,-8.046664356249998
10.0,26,-7.79169431477683,-8.001333447713009,-8.013157052006271
10.0,27,-7.747807632413803,-7.967728542209696,-7.97970882670149
10.0,28,-7.704201453964743,-7.934183400487264,-7.9463192610010935
10.0,29,-7.660866979668951,-7.900697592570545,-7.912987939491638
10.0,30,-7.617795610451199,-7.8672706925119975,-7.8797144506807975
10.0,31,-7.574978947921732,-7.8339022783917125,-7.846498386997369
10.0,32,-7.53240879437627,-7.800591932317408,-7.813339344791263
10.0,33,-7.490077152796005,-7.767339240424433,-7.780236924333512
10.0,34,-7.447976226847601,-7.734143792875761,-7.747190729816268
10.0,35,-7.4060984208831995,-7.701005183861998,-7.714200369352798
