energy-0,temp,pressure
-8.904854454875,0.0,0
-8.904854456,10.0,0
-8.904854476625001,20.0,0
-8.90485456875,30.0,0
-8.904854819750001,40.0,0
-8.904855355750001,50.0,0
-8.904856346625001,60.0,0
-8.904858014125,70.0,0
-8.904860644500001,80.0,0
-8.90486460225,90.0,0
-8.904870341625001,100.0,0
-8.904878411,110.0,0
-8.904889451125001,120.0,0
-8.904904187125,130.0,0
-8.904923416875,140.0,0
-8.904947998,150.0,0
-8.904978833625002,160.0,0
-8.905016861250001,170.0,0
-8.905063040375001,180.0,0
-8.905118343375001,190.0,0
-8.905183746625001,200.0,0
-8.905260223125001,210.0,0
-8.905348735875,220.0,0
-8.905450232500002,230.0,0
-8.905565639875,240.0,0
-8.905695859875001,250.0,0
-8.905841765875001,260.0,0
-8.906004199500002,270.0,0
-8.906183968,280.0,0
-8.906381842125,290.0,0
-8.906598555,300.0,0
-8.9068348005,310.0,0
-8.907091233125001,320.0,0
-8.907368467125002,330.0,0
-8.907667077500001,340.0,0
-8.907987599250001,350.0,0
-8.908330529,360.0,0
-8.908696325125002,370.0,0
-8.909085409500001,380.0,0
-8.909498168,390.0,0
-8.909934952125,400.0,0
-8.91039608025,410.0,0
-8.91088183925,420.0,0
-8.911392485750001,430.0,0
-8.911928247750001,440.0,0
-8.912489326125002,450.0,0
-8.913075895625001,460.0,0
-8.913688107250001,470.0,0
-8.914326088625002,480.0,0
-8.914989946250001,490.0,0
-8.915679766250001,500.0,0
-8.916395615875,510.0,0
-8.91713754475,520.0,0
-8.917905586000002,530.0,0
-8.918699757375,540.0,0
-8.919520062250001,550.0,0
-8.92036649075,560.0,0
-8.92123902075,570.0,0
-8.9221376185,580.0,0
-8.923062239875001,590.0,0
-8.924012830750002,600.0,0
-8.924989328250001,610.0,0
-8.925991661000001,620.0,0
-8.927019750125002,630.0,0
-8.928073509625001,640.0,0
-8.929152847000001,650.0,0
-8.93025766425,660.0,0
-8.9313878575,670.0,0
-8.9325433185,680.0,0
-8.93372393425,690.0,0
-8.93492958775,700.0,0
-8.936160158500002,710.0,0
-8.937415522875002,720.0,0
-8.938695554,730.0,0
-8.9400001225,740.0,0
-8.941329096875,750.0,0
-8.942682343500001,760.0,0
-8.944059726875,770.0,0
-8.94546111,780.0,0
-8.946886354625,790.0,0
-8.948335321375001,800.0,0
-8.949807869750002,810.0,0
-8.95130385875,820.0,0
-8.952823146625,830.0,0
-8.954365591250001,840.0,0
-8.95593105,850.0,0
-8.957519380375,860.0,0
-8.9591304395,870.0,0
-8.96076408475,880.0,0
-8.96242017375,890.0,0
-8.964098564,900.0,0
-8.965799113625001,910.0,0
-8.967521681000001,920.0,0
-8.969266125,930.0,0
-8.971032305125,940.0,0
-8.9728200815,950.0,0
-8.974629314500001,960.0,0
-8.976459865875,970.0,0
-8.978311597500001,980.0,0
-8.9801843725,990.0,0
-8.9820780545,1000.0,0
-8.046664355125001,0.0,25
-8.04666435625,10.0,25
-8.046664376875,20.0,25
-8.046664469000001,30.0,25
-8.04666472,40.0,25
-8.046665256,50.0,25
-8.046666246875,60.0,25
-8.046667914375,70.0,25
-8.04667054475,80.0,25
-8.046674502625,90.0,25
